PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
ZXADA,3qr1k1/3r2pp/p2R1B2/8/1p2P3/P4PQ1/2P3PP/6K1 b - - 0 25,d7d6 g3g7,695,94,98,3380,endgame mate mateIn1 oneMove,https://lichess.org/xdZU7LS8/black#50,
MHVqy,8/4N1pk/2p5/5R1p/8/4P1PK/1r5P/2q5 b - - 9 39,c1c2 f5h5,623,97,94,3379,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/SZ7eLh6T/black#78,
FsAcC,r1b1kbnr/1pNp1ppp/p1nq4/4p2Q/2B1P3/8/PPPP1PPP/R1B1K1NR b KQkq - 0 6,d6c7 h5f7 e8d8 f7f8,654,90,96,3346,attackingF2F7 deflection mate mateIn2 opening short,https://lichess.org/ZI6l7sjj/black#12,Kings_Pawn_Game Kings_Pawn_Game_Wayward_Queen_Attack
DVXCT,1r2q3/Q1p3pk/7p/8/8/8/P4PPP/4R1K1 w - - 0 26,e1e8 b8b1 e8e1 b1e1,680,82,97,3343,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/aNFIwIJg#51,
GEGzH,8/5ppp/8/3pk3/6P1/r1N1P2P/2K3B1/8 w - - 9 36,c3d5 a3a2 c2d3 a2g2,692,83,97,3317,crushing endgame short skewer,https://lichess.org/UK4HjzET#71,
r81ii,8/2r2p1k/pq1p3p/4p3/Q7/8/P4PPP/2R3K1 w - - 0 29,c1c7 b6b1 c7c1 b1c1 a4d1 c1d1,679,94,95,3275,backRankMate endgame long mate mateIn3,https://lichess.org/5qs2ZosA#57,
xQbCr,rn3rk1/3bq1pp/p3p3/1p2Pp2/2QP1n2/5N2/1PB2PPP/RN3RK1 w - - 0 16,c4c3 f4e2 g1h1 e2c3,678,107,95,3273,crushing fork opening short,https://lichess.org/fi2dRE7i#31,Queens_Gambit_Accepted Queens_Gambit_Accepted_Saduleto_Variation
hmQNz,r3r1k1/pp1b1p2/5n1p/b2p2p1/N2P4/3B2B1/Pq3PPP/R2Q1RK1 b - - 1 17,b2d4 d3h7 f6h7 d1d4,692,95,95,3267,crushing discoveredAttack middlegame short,https://lichess.org/be2q9oi9/black#34,French_Defense French_Defense_Kings_Indian_Attack
GLaTW,6rk/R7/5N2/8/2n3P1/7P/P4PK1/4r3 b - - 2 44,g8f8 a7h7,661,93,91,3263,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/AmMBlmD3/black#88,
xKxqn,8/1p6/1P6/8/4K3/8/4p1Q1/3k4 w - - 2 77,e4d3 e2e1n d3e4 e1g2,656,98,82,3256,advancedPawn crushing endgame fork master promotion short underPromotion,https://lichess.org/i6NRSXHh#153,
